iter	Logloss
0	0.6843752052
1	0.6758152962
2	0.6673830661
3	0.6590236674
4	0.6510328332
5	0.6431196986
6	0.6354136606
7	0.6279469301
8	0.6206349418
9	0.6133739841
10	0.6064512151
11	0.5995316115
12	0.5929885148
13	0.5864666284
14	0.5800887091
15	0.5739559948
16	0.5677607838
17	0.5618682863
18	0.5561896847
19	0.5505117334
20	0.5449219486
21	0.5395527877
22	0.5344298113
23	0.5292773078
24	0.5242388952
25	0.5193201392
26	0.5145629601
27	0.5097958923
28	0.5052538921
29	0.5008257083
30	0.4965864148
31	0.492301978
32	0.4881339091
33	0.4839758442
34	0.4800080761
35	0.4762344042
36	0.4724242135
37	0.4689028387
38	0.4652188164
39	0.4616645164
40	0.4582123263
41	0.4549166102
42	0.4515276567
43	0.4482253307
44	0.4450616056
45	0.4420445633
46	0.4391267533
47	0.4362956112
48	0.4334097805
49	0.4305662031
50	0.4277719421
51	0.4250971829
52	0.4224827141
53	0.4199153338
54	0.417453526
55	0.4151123664
56	0.4127224229
57	0.4103450981
58	0.4079721147
59	0.4057472943
60	0.4036029036
61	0.4014475549
62	0.399338408
63	0.3973109824
64	0.3953386103
65	0.3933425597
66	0.3914966814
67	0.3896573033
68	0.3878129665
69	0.3861077248
70	0.3843182838
71	0.382539686
72	0.380915891
73	0.3792342889
74	0.3776783337
75	0.3760783975
76	0.3745294001
77	0.3730409538
78	0.3715888382
79	0.3700930747
80	0.3687317976
81	0.3672961127
82	0.3659852404
83	0.364699458
84	0.3634616846
85	0.3621473236
86	0.360908699
87	0.3596845912
88	0.3584403223
89	0.3572555565
90	0.3561266399
91	0.3549667503
92	0.3538580909
93	0.3528296847
94	0.3517973397
95	0.3507837628
96	0.3498136451
97	0.3488282256
98	0.3478367415
99	0.346873721
100	0.3459368411
101	0.3449910271
102	0.3440919493
103	0.3432109452
104	0.3423446525
105	0.3414689088
106	0.3406534642
107	0.3398140135
108	0.3390113113
109	0.3381988009
110	0.337419199
111	0.3366952385
112	0.3359519281
113	0.335235227
114	0.3345383727
115	0.3338556549
116	0.3331834828
117	0.3324896469
118	0.3318155549
119	0.3311919225
120	0.3305268635
121	0.3298976526
122	0.3292519819
123	0.3286595335
124	0.3281265816
125	0.3275430402
126	0.3269727995
127	0.3264228445
128	0.3258788056
129	0.3253356679
130	0.3248266056
131	0.3242845148
132	0.3237552732
133	0.3232429302
134	0.3227885017
135	0.3223153759
136	0.3218388131
137	0.3213724548
138	0.3209059202
139	0.3204483445
140	0.3200043392
141	0.3195752506
142	0.3191333127
143	0.3186963518
144	0.3182684476
145	0.3178691276
146	0.317467585
147	0.3170651845
148	0.316668591
149	0.3162710378
150	0.3158866356
151	0.3155296075
152	0.3151576585
153	0.3148043668
154	0.3144455277
155	0.3141026
156	0.3137474314
157	0.3133993922
158	0.3130573213
159	0.3127237773
160	0.312402386
161	0.312082863
162	0.3117759231
163	0.3114739922
164	0.3111613225
165	0.3108593068
166	0.3105695433
167	0.3102740355
168	0.3099848577
169	0.3096961381
170	0.3094194376
171	0.3091333681
172	0.3088647341
173	0.3085953958
174	0.3083400472
175	0.3080672568
176	0.3078233842
177	0.3075624707
178	0.3072975318
179	0.3070507195
180	0.3068089885
181	0.3065630832
182	0.3063285409
183	0.3060801756
184	0.3058458646
185	0.3056040128
186	0.3053684194
187	0.3051389904
188	0.3049200891
189	0.304695474
190	0.3044822472
191	0.3042804155
192	0.30407105
193	0.3038637188
194	0.3036527918
195	0.3034423427
196	0.3032386757
197	0.3030383503
198	0.3028440451
199	0.3026443931
200	0.3024551133
201	0.302266492
202	0.302088895
203	0.3018941656
204	0.3016986132
205	0.3015103221
206	0.3013230869
207	0.3011524248
208	0.3009775183
209	0.300803012
210	0.3006261942
211	0.3004547921
212	0.3002810824
213	0.3001137946
214	0.2999413995
215	0.2997607509
216	0.2995923281
217	0.2994303474
218	0.2992743859
219	0.2991146709
220	0.2989589019
221	0.2988040109
222	0.29863885
223	0.2984807985
224	0.2983282787
225	0.298170049
226	0.2980151026
227	0.2978651105
228	0.2977058944
229	0.2975660289
230	0.2974134357
231	0.2972644996
232	0.2971211247
233	0.2969797905
234	0.2968341098
235	0.2966925224
236	0.296553416
237	0.2964147789
238	0.2962791189
239	0.2961384503
240	0.2959981704
241	0.2958595389
242	0.2957258839
243	0.295599235
244	0.295451464
245	0.2953227284
246	0.2951881639
247	0.2950558268
248	0.2949217987
249	0.2947944291
250	0.2946689519
251	0.2945484134
252	0.2944175836
253	0.2942926281
254	0.2941670085
255	0.2940423046
256	0.293913818
257	0.2937961103
258	0.2936669153
259	0.2935498639
260	0.2934269961
261	0.293305478
262	0.2931913414
263	0.2930751275
264	0.2929613279
265	0.2928465386
266	0.2927270815
267	0.2926098371
268	0.2924938067
269	0.2923819811
270	0.2922665
271	0.2921507009
272	0.2920484317
273	0.2919346973
274	0.2918118295
275	0.2917028837
276	0.2915969256
277	0.2914887922
278	0.2913797402
279	0.2912689288
280	0.2911652782
281	0.2910560392
282	0.290957375
283	0.2908516497
284	0.2907398225
285	0.2906333621
286	0.2905367376
287	0.2904310032
288	0.2903312221
289	0.2902301497
290	0.2901204077
291	0.2900137124
292	0.2899103464
293	0.2898036707
294	0.289703429
295	0.2896008866
296	0.289501618
297	0.2894032816
298	0.2892974988
299	0.2891886283
300	0.2890863893
301	0.2889839104
302	0.288883351
303	0.2887848184
304	0.2886779902
305	0.2885757537
306	0.2884790509
307	0.2883836752
308	0.2882884129
309	0.28819021
310	0.2880936732
311	0.2879967901
312	0.2879029252
313	0.2878054081
314	0.2877125213
315	0.2876207535
316	0.2875252738
317	0.2874284672
318	0.2873332424
319	0.2872420856
320	0.2871438765
321	0.2870525987
322	0.2869589151
323	0.286870944
324	0.2867747128
325	0.2866847055
326	0.2865927663
327	0.286504114
328	0.2864061773
329	0.2863097916
330	0.2862193711
331	0.2861268694
332	0.2860348686
333	0.2859479812
334	0.2858611946
335	0.2857763801
336	0.2856884506
337	0.2856005542
338	0.2855077975
339	0.2854171377
340	0.2853321637
341	0.2852416428
342	0.2851516201
343	0.2850615816
344	0.2849742593
345	0.2848840487
346	0.2848019294
347	0.2847152004
348	0.2846310209
349	0.2845460329
350	0.2844649625
351	0.2843821466
352	0.2842981331
353	0.2842161115
354	0.2841312889
355	0.2840454528
356	0.2839635586
357	0.2838821047
358	0.28379908
359	0.2837116594
360	0.2836268111
361	0.2835413215
362	0.2834654991
363	0.2833822373
364	0.2833066754
365	0.2832209027
